"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221018,2022-10-18,090741,CME ,00,090 ,  146425,   28672,   14479,    1069,   45323,   43354,    5909,   16959,   35987,    2912,   14546,    7150,    1527,  116917,  112387,   29508,   34038,    2425,     320,    -517,      -7,    3758,    3453,    -254,      37,   -2388,     211,     157,     888,    -169,    4053,    1217,   -1628,    1208,  100.0,   19.6,    9.9,    0.7,   31.0,   29.6,    4.0,   11.6,   24.6,    2.0,    9.9,    4.9,    1.0,   79.8,   76.8,   20.2,   23.2,    110,     11,      5,.,     15,     20,      8,     14,     28,     12,     14,.,.,     64,     71,    29.1,    20.6,    42.0,    31.2,    28.7,    20.6,    40.2,    30.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221011,2022-10-11,090741,CME ,00,090 ,  144000,   28352,   14996,    1076,   41565,   39901,    6163,   16922,   38375,    2701,   14389,    6262,    1696,  112864,  111170,   31136,   32830,    2201,    9004,    1030,     744,   -3576,   -2643,    -896,   -2193,     136,     488,     619,     177,    -124,    4066,   -1088,   -1865,    3289,  100.0,   19.7,   10.4,    0.7,   28.9,   27.7,    4.3,   11.8,   26.6,    1.9,   10.0,    4.3,    1.2,   78.4,   77.2,   21.6,   22.8,    110,     11,      5,.,     14,     20,      8,     14,     29,     12,     14,.,.,     62,     73,    26.5,    19.0,    39.0,    30.3,    26.1,    19.0,    37.2,    29.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",221004,2022-10-04,090741,CME ,00,090 ,  141799,   19348,   13966,     332,   45141,   42544,    7059,   19115,   38239,    2213,   13770,    6085,    1820,  108798,  112258,   33001,   29541,     910,   -3252,      27,     171,    1834,    2450,     573,    -754,    1335,     192,    -942,     575,      65,   -2113,    5388,    3023,   -4478,  100.0,   13.6,    9.8,    0.2,   31.8,   30.0,    5.0,   13.5,   27.0,    1.6,    9.7,    4.3,    1.3,   76.7,   79.2,   23.3,   20.8,    115,      9,      6,.,     15,     20,      9,     18,     31,     13,     13,.,.,     67,     74,    23.5,    19.4,    34.8,    31.4,    22.5,    19.4,    33.2,    31.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220927,2022-09-27,090741,CME ,00,090 ,  140889,   22600,   13939,     161,   43307,   40094,    6486,   19869,   36904,    2021,   14712,    5510,    1755,  110911,  106870,   29978,   34019,  -19425,    9208,  -12875,  -10167,     -49,    1237,     -74,  -11905,    6483,   -1635,    -875,     441,      69,  -15428,  -16521,   -3997,   -2904,  100.0,   16.0,    9.9,    0.1,   30.7,   28.5,    4.6,   14.1,   26.2,    1.4,   10.4,    3.9,    1.2,   78.7,   75.9,   21.3,   24.1,    114,      9,      6,.,     12,     22,      7,     20,     27,      9,     15,.,.,     62,     71,    23.6,    19.4,    35.8,    30.4,    23.6,    19.4,    34.6,    29.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220920,2022-09-20,090741,CME ,00,090 ,  160314,   13392,   26814,   10328,   43356,   38857,    6560,   31774,   30421,    3656,   15587,    5069,    1686,  126339,  123391,   33975,   36923,   10758,    1215,   -7164,    -158,     143,    7206,      65,    5903,    2573,    -285,     545,    1192,     288,    7716,    3717,    3042,    7041,  100.0,    8.4,   16.7,    6.4,   27.0,   24.2,    4.1,   19.8,   19.0,    2.3,    9.7,    3.2,    1.1,   78.8,   77.0,   21.2,   23.0,    114,     12,.,      6,     12,     22,      7,     20,     25,     12,     15,      5,.,     68,     73,    18.2,    26.4,    30.3,    37.8,    17.4,    25.0,    28.2,    34.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220913,2022-09-13,090741,CME ,00,090 ,  149556,   12177,   33978,   10486,   43213,   31651,    6495,   25871,   27848,    3941,   15042,    3877,    1398,  118623,  119674,   30933,   29882,  -11011,    -279,   -6984,    3939,   -4178,    1853,     291,   -7106,   -6081,   -3877,    2021,    1715,     284,   -8905,   -8860,   -2106,   -2151,  100.0,    8.1,   22.7,    7.0,   28.9,   21.2,    4.3,   17.3,   18.6,    2.6,   10.1,    2.6,    0.9,   79.3,   80.0,   20.7,   20.0,    102,     10,      4,      6,     11,     19,      7,     18,     21,     16,     14,      4,.,     67,     66,    20.3,    31.6,    32.1,    42.7,    20.3,    28.8,    31.0,    38.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220906,2022-09-06,090741,CME ,00,090 ,  160567,   12456,   40962,    6547,   47391,   29798,    6204,   32977,   33929,    7818,   13021,    2162,    1114,  127528,  128534,   33039,   32033,    2402,    2982,   -8071,    3805,     619,    -249,     142,   -4010,    3687,     725,    -358,      12,     458,    4363,     509,   -1961,    1893,  100.0,    7.8,   25.5,    4.1,   29.5,   18.6,    3.9,   20.5,   21.1,    4.9,    8.1,    1.3,    0.7,   79.4,   80.0,   20.6,   19.9,     97,     12,      5,      5,     13,     19,      8,     15,     20,     10,     11,.,.,     60,     62,    22.1,    31.0,    34.1,    42.7,    22.0,    30.1,    33.4,    41.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220830,2022-08-30,090741,CME ,00,090 ,  158165,    9474,   49033,    2742,   46772,   30047,    6062,   36987,   30242,    7093,   13379,    2150,     656,  123165,  128025,   35000,   30140,    5480,    -212,   -6401,    2402,    -703,    5064,    1034,    3870,    1196,   -1659,    -413,    1087,     357,    4676,    3080,     804,    2400,  100.0,    6.0,   31.0,    1.7,   29.6,   19.0,    3.8,   23.4,   19.1,    4.5,    8.5,    1.4,    0.4,   77.9,   80.9,   22.1,   19.1,     94,      8,      5,.,     14,     16,      9,     19,     19,     14,     11,.,.,     61,     60,    22.7,    33.3,    36.0,    45.4,    22.7,    33.3,    34.2,    44.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220823,2022-08-23,090741,CME ,00,090 ,  152685,    9686,   55434,     340,   47475,   24983,    5028,   33117,   29046,    8752,   13792,    1063,     299,  118489,  124945,   34196,   27740,    5089,    1555,   -3457,      -4,    -957,    2527,     466,    1356,    3894,     660,     810,     994,     136,    4022,    5216,    1067,    -127,  100.0,    6.3,   36.3,    0.2,   31.1,   16.4,    3.3,   21.7,   19.0,    5.7,    9.0,    0.7,    0.2,   77.6,   81.8,   22.4,   18.2,     94,      8,      5,.,     14,     14,      7,     16,     24,     11,     12,.,.,     59,     56,    23.1,    38.9,    37.5,    51.8,    23.1,    38.9,    35.6,    49.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220816,2022-08-16,090741,CME ,00,090 ,  147596,    8131,   58891,     344,   48432,   22456,    4562,   31761,   25152,    8092,   12982,      69,     163,  114467,  119729,   33129,   27867,    3950,    -427,    7617,       4,    -262,   -6496,     265,    5036,   -1280,    1549,   -1179,      69,    -357,    4629,    1371,    -679,    2579,  100.0,    5.5,   39.9,    0.2,   32.8,   15.2,    3.1,   21.5,   17.0,    5.5,    8.8,    0.0,    0.1,   77.6,   81.1,   22.4,   18.9,     89,      8,      5,.,     16,     14,      5,     18,     17,     12,     10,.,.,     59,     50,    24.3,    41.5,    37.5,    54.5,    24.3,    41.5,    35.6,    53.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220809,2022-08-09,090741,CME ,00,090 ,  143646,    8558,   51274,     340,   48694,   28952,    4297,   26725,   26432,    6543,   14161,       0,     520,  109838,  118358,   33808,   25288,   -2268,    -172,    1201,       0,    1028,     603,    -802,    -328,   -3091,     -24,    -612,    -407,     227,    -683,   -2293,   -1585,      25,  100.0,    6.0,   35.7,    0.2,   33.9,   20.2,    3.0,   18.6,   18.4,    4.6,    9.9,    0.0,    0.4,   76.5,   82.4,   23.5,   17.6,     91,      7,      7,.,     15,     16,      4,     17,     18,     13,     11,      0,.,     58,     53,    22.6,    37.9,    37.0,    50.6,    22.6,    37.9,    34.9,    50.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220802,2022-08-02,090741,CME ,00,090 ,  145914,    8730,   50073,     340,   47666,   28349,    5099,   27053,   29523,    6567,   14773,     407,     293,  110521,  120651,   35393,   25263,    1732,    -350,    9672,       0,    1786,   -5442,    -464,     563,    -816,     341,   -1880,     407,     133,     129,    3831,    1603,   -2099,  100.0,    6.0,   34.3,    0.2,   32.7,   19.4,    3.5,   18.5,   20.2,    4.5,   10.1,    0.3,    0.2,   75.7,   82.7,   24.3,   17.3,     92,      8,      7,.,     14,     15,      4,     16,     20,     13,     11,.,.,     56,     56,    21.4,    38.0,    34.9,    50.9,    20.9,    38.0,    32.8,    49.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220726,2022-07-26,090741,CME ,00,090 ,  144182,    9080,   40401,     340,   45880,   33791,    5563,   26490,   30339,    6226,   16653,       0,     160,  110392,  116820,   33790,   27362,    1966,   -4793,   13674,       0,    2217,   -5609,      36,    3413,   -4218,     -98,   -1339,       0,     131,    -433,    3916,    2399,   -1950,  100.0,    6.3,   28.0,    0.2,   31.8,   23.4,    3.9,   18.4,   21.0,    4.3,   11.5,    0.0,    0.1,   76.6,   81.0,   23.4,   19.0,     95,      8,      5,.,     14,     16,      4,     18,     21,     13,     13,      0,.,     62,     53,    21.0,    35.0,    32.9,    49.0,    20.1,    35.0,    30.5,    46.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220719,2022-07-19,090741,CME ,00,090 ,  142216,   13873,   26727,     340,   43663,   39400,    5527,   23077,   34557,    6324,   17992,       0,      29,  110825,  112904,   31391,   29312,    2919,    1603,    4926,       0,    4711,   -1930,      28,   -2761,     644,     630,    -844,       0,      -5,    3362,    4293,    -443,   -1374,  100.0,    9.8,   18.8,    0.2,   30.7,   27.7,    3.9,   16.2,   24.3,    4.4,   12.7,    0.0,    0.0,   77.9,   79.4,   22.1,   20.6,    102,      9,      5,.,     13,     17,      4,     17,     26,     13,     14,      0,.,     63,     59,    20.8,    25.7,    33.5,    39.8,    20.1,    25.7,    31.3,    38.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220712,2022-07-12,090741,CME ,00,090 ,  139297,   12270,   21801,     340,   38952,   41330,    5499,   25838,   33913,    5694,   18836,       0,      34,  107463,  108611,   31834,   30686,   -6075,      90,   -3815,       0,    -490,    3257,    -201,   -6212,   -5220,    -566,     -74,       0,       4,   -7449,   -6541,    1374,     466,  100.0,    8.8,   15.7,    0.2,   28.0,   29.7,    3.9,   18.5,   24.3,    4.1,   13.5,    0.0,    0.0,   77.1,   78.0,   22.9,   22.0,    100,      8,      6,.,     13,     17,      6,     18,     22,     12,     15,      0,.,     64,     57,    19.7,    22.6,    33.5,    37.6,    19.3,    22.6,    31.5,    37.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220705,2022-07-05,090741,CME ,00,090 ,  145372,   12180,   25616,     340,   39442,   38073,    5700,   32050,   39133,    6260,   18910,       0,      30,  114912,  115152,   30460,   30220,    2788,    4827,   -7473,      -1,   -3643,    7483,     314,     439,   -1525,     157,    -228,       0,       0,    1865,   -1045,     923,    3833,  100.0,    8.4,   17.6,    0.2,   27.1,   26.2,    3.9,   22.0,   26.9,    4.3,   13.0,    0.0,    0.0,   79.0,   79.2,   21.0,   20.8,    110,      8,      6,.,     13,     20,      8,     20,     28,     14,     14,      0,.,     65,     70,    19.5,    22.0,    33.0,    36.2,    19.1,    22.0,    31.1,    35.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220628,2022-06-28,090741,CME ,00,090 ,  142584,    7353,   33089,     341,   43085,   30590,    5386,   31611,   40658,    6103,   19138,       0,      30,  113047,  116197,   29537,   26387,    2537,    2346,   -1339,       1,   -2677,    3079,      65,    3292,    1224,      54,   -1094,    -420,      24,    2011,    2688,     526,    -151,  100.0,    5.2,   23.2,    0.2,   30.2,   21.5,    3.8,   22.2,   28.5,    4.3,   13.4,    0.0,    0.0,   79.3,   81.5,   20.7,   18.5,    109,      6,      7,.,     17,     17,      6,     18,     28,     14,     15,      0,.,     67,     65,    18.5,    27.6,    30.5,    41.1,    17.6,    27.5,    28.8,    39.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
