"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230502,2023-05-02,090741,CME ,00,090 ,  181623,   67601,    2930,    3138,   25709,   82753,    4311,   24500,   37029,   13059,   12198,    2125,      42,  150560,  145387,   31063,   36236,   19045,   18806,       0,     779,    -862,   16354,    -548,    1529,   -1501,     705,    -475,    -146,      42,   19975,   15685,    -930,    3360,  100.0,   37.2,    1.6,    1.7,   14.2,   45.6,    2.4,   13.5,   20.4,    7.2,    6.7,    1.2,    0.0,   82.9,   80.0,   17.1,   20.0,    115,     14,.,      6,     11,     28,     11,     21,     23,     16,     13,      4,.,     70,     79,    34.0,    23.2,    46.1,    34.2,    33.8,    23.1,    44.9,    33.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230425,2023-04-25,090741,CME ,00,090 ,  162578,   48795,    2930,    2360,   26572,   66398,    4859,   22971,   38530,   12354,   12673,    2271,       0,  130585,  129702,   31993,   32876,    5123,   -2674,   -1274,     437,   -1505,   -1284,     200,    6709,     887,    3122,    1250,    -297,       0,    7539,    1792,   -2416,    3331,  100.0,   30.0,    1.8,    1.5,   16.3,   40.8,    3.0,   14.1,   23.7,    7.6,    7.8,    1.4,    0.0,   80.3,   79.8,   19.7,   20.2,    114,     13,.,      5,     12,     24,     12,     20,     27,     16,     13,      4,      0,     70,     77,    28.1,    20.9,    40.1,    32.8,    27.8,    20.8,    38.4,    32.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230418,2023-04-18,090741,CME ,00,090 ,  157455,   51469,    4204,    1923,   28077,   67682,    4659,   16262,   37642,    9232,   11423,    2567,       0,  123045,  127910,   34410,   29545,  -15555,  -25238,     -38,     685,    6097,   -8312,    -208,    -276,   -5696,     154,    -246,      -5,       0,  -19032,  -13420,    3477,   -2135,  100.0,   32.7,    2.7,    1.2,   17.8,   43.0,    3.0,   10.3,   23.9,    5.9,    7.3,    1.6,    0.0,   78.1,   81.2,   21.9,   18.8,    103,     12,.,      5,     11,     27,     11,     15,     21,     12,     11,      4,      0,     62,     69,    31.8,    20.3,    44.4,    34.0,    31.5,    20.3,    42.0,    33.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230411,2023-04-11,090741,CME ,00,090 ,  173010,   76708,    4242,    1238,   21980,   75994,    4867,   16538,   43338,    9078,   11669,    2572,       0,  142077,  141329,   30933,   31681,   -9984,   -5074,    -103,    -389,     625,   -6835,    -887,    1987,    2100,   -3851,    -154,      88,      -5,   -7748,   -9882,   -2236,    -102,  100.0,   44.3,    2.5,    0.7,   12.7,   43.9,    2.8,    9.6,   25.0,    5.2,    6.7,    1.5,    0.0,   82.1,   81.7,   17.9,   18.3,    115,     13,.,      5,     10,     27,     11,     18,     29,     13,     11,      5,      0,     65,     79,    42.4,    19.6,    53.0,    30.7,    42.2,    19.6,    50.8,    30.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230404,2023-04-04,090741,CME ,00,090 ,  182994,   81782,    4345,    1626,   21355,   82829,    5755,   14551,   41238,   12929,   11823,    2484,       5,  149825,  151211,   33169,   31783,   -6711,   -5352,    1315,    -485,    1555,   -4656,     672,   -4092,    2004,     717,    -372,     -50,       2,   -7356,    -482,     645,   -6229,  100.0,   44.7,    2.4,    0.9,   11.7,   45.3,    3.1,    8.0,   22.5,    7.1,    6.5,    1.4,    0.0,   81.9,   82.6,   18.1,   17.4,    117,     12,.,      6,     10,     29,     13,     16,     31,     15,     11,      6,.,     64,     88,    42.7,    19.4,    54.0,    30.1,    42.5,    19.0,    51.2,    29.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230328,2023-03-28,090741,CME ,00,090 ,  189705,   87134,    3030,    2112,   19800,   87485,    5083,   18642,   39234,   12212,   12194,    2534,       3,  157181,  151693,   32524,   38012,   -3476,   -2838,    -241,    -457,     875,   -1462,    -327,    2773,    2384,   -3500,    -881,      79,      -4,   -4359,   -3528,     883,      52,  100.0,   45.9,    1.6,    1.1,   10.4,   46.1,    2.7,    9.8,   20.7,    6.4,    6.4,    1.3,    0.0,   82.9,   80.0,   17.1,   20.0,    111,     12,.,      6,      8,     29,     14,     13,     32,     14,     10,      6,.,     62,     84,    45.0,    19.8,    55.3,    31.1,    44.7,    19.7,    54.4,    30.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230321,2023-03-21,090741,CME ,00,090 ,  193181,   89973,    3271,    2569,   18925,   88947,    5410,   15869,   36850,   15712,   13075,    2455,       7,  161540,  155221,   31641,   37960,  -65513,   24419,    -869,  -47781,     663,   -6185,    -707,  -37929,   -8904,   -1761,    -228,      87,      -0,  -63324,  -66119,   -2189,     606,  100.0,   46.6,    1.7,    1.3,    9.8,   46.0,    2.8,    8.2,   19.1,    8.1,    6.8,    1.3,    0.0,   83.6,   80.3,   16.4,   19.6,    114,     14,.,      8,      8,     29,     13,     13,     31,     14,     12,      5,.,     65,     85,    45.4,    21.1,    56.3,    31.9,    44.9,    21.0,    52.7,    30.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230314,2023-03-14,090741,CME ,00,090 ,  258694,   65553,    4140,   50350,   18262,   95132,    6117,   53798,   45754,   17473,   13303,    2367,       8,  224864,  221340,   33830,   37354,   37615,    1779,     313,   40512,   -3591,    3403,      64,    -105,     520,   -3703,     533,      -5,      -1,   35487,   41103,    2128,   -3488,  100.0,   25.3,    1.6,   19.5,    7.1,   36.8,    2.4,   20.8,   17.7,    6.8,    5.1,    0.9,    0.0,   86.9,   85.6,   13.1,   14.4,    128,     14,.,     10,      7,     32,     13,     19,     35,     18,     11,      6,.,     71,     99,    40.8,    26.8,    52.4,    40.2,    24.7,    18.3,    35.4,    26.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230307,2023-03-07,090741,CME ,00,090 ,  221079,   63775,    3827,    9838,   21854,   91729,    6053,   53904,   45234,   21176,   12770,    2372,       8,  189378,  180238,   31701,   40841,   39282,    4914,     -42,    7136,     -35,   15628,    -426,   28306,   10046,    2003,    -473,    -834,       3,   41428,   33514,   -2146,    5768,  100.0,   28.8,    1.7,    4.5,    9.9,   41.5,    2.7,   24.4,   20.5,    9.6,    5.8,    1.1,    0.0,   85.7,   81.5,   14.3,   18.5,    131,     15,.,      7,      8,     33,     11,     16,     39,     20,     12,      4,.,     70,    100,    31.8,    19.9,    44.8,    29.9,    31.6,    19.7,    43.0,    28.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230228,2023-02-28,090741,CME ,00,090 ,  181797,   58861,    3869,    2702,   21889,   76102,    6479,   25597,   35188,   19173,   13243,    3206,       5,  147950,  146724,   33847,   35073,   18433,    4873,     126,     270,    -438,   14106,     121,   12415,    2067,    4549,     591,     798,    -483,   21899,   21556,   -3466,   -3123,  100.0,   32.4,    2.1,    1.5,   12.0,   41.9,    3.6,   14.1,   19.4,   10.5,    7.3,    1.8,    0.0,   81.4,   80.7,   18.6,   19.3,    118,     12,.,      7,      8,     29,     11,     16,     32,     17,     11,      6,.,     65,     90,    28.5,    19.7,    43.6,    29.5,    27.5,    19.3,    40.5,    28.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230221,2023-02-21,090741,CME ,00,090 ,  163364,   53988,    3743,    2432,   22327,   61995,    6358,   13182,   33121,   14623,   12652,    2408,     488,  126051,  125169,   37313,   38195,    2112,     353,     309,     286,   -1739,   -4810,    -114,    -867,    2767,     642,    1631,    -203,      76,     267,   -1048,    1845,    3160,  100.0,   33.0,    2.3,    1.5,   13.7,   37.9,    3.9,    8.1,   20.3,    9.0,    7.7,    1.5,    0.3,   77.2,   76.6,   22.8,   23.4,    108,     11,.,      6,      7,     26,     11,     14,     31,     16,     11,      5,      4,     60,     85,    29.7,    19.3,    44.1,    29.1,    29.3,    18.9,    41.7,    28.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230214,2023-02-14,090741,CME ,00,090 ,  161252,   53635,    3434,    2146,   24066,   66806,    6472,   14049,   30353,   13982,   11021,    2611,     412,  125784,  126217,   35468,   35035,    -812,    8142,      54,     210,    -479,    1777,     296,   -9774,   -6142,     148,    -135,      45,     395,   -1197,   -3216,     385,    2404,  100.0,   33.3,    2.1,    1.3,   14.9,   41.4,    4.0,    8.7,   18.8,    8.7,    6.8,    1.6,    0.3,   78.0,   78.3,   22.0,   21.7,     96,     11,.,      5,      8,     26,     10,     13,     23,     14,      8,      5,.,     55,     73,    30.1,    20.3,    45.7,    32.6,    29.4,    20.0,    42.2,    31.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230207,2023-02-07,090741,CME ,00,090 ,  162064,   45493,    3380,    1936,   24545,   65029,    6176,   23823,   36495,   13834,   11156,    2566,      17,  126980,  129433,   35084,   32631,    9845,    5309,    -903,      59,    -913,    5420,    -771,    6084,    3788,    1638,    -466,     707,    -801,   10139,    9138,    -294,     707,  100.0,   28.1,    2.1,    1.2,   15.1,   40.1,    3.8,   14.7,   22.5,    8.5,    6.9,    1.6,    0.0,   78.4,   79.9,   21.6,   20.1,    101,     11,.,      5,     10,     23,     11,     16,     25,     15,      8,      5,.,     59,     75,    27.3,    21.5,    41.9,    33.4,    26.7,    21.0,    38.6,    32.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230131,2023-01-31,090741,CME ,00,090 ,  152219,   40184,    4283,    1878,   25458,   59609,    6947,   17739,   32707,   12196,   11622,    1858,     818,  116842,  120295,   35377,   31924,    2795,    -355,     517,    -399,     439,     877,     338,    -148,   -1204,    1353,   -1376,    -372,      98,     -50,    1208,    2845,    1587,  100.0,   26.4,    2.8,    1.2,   16.7,   39.2,    4.6,   11.7,   21.5,    8.0,    7.6,    1.2,    0.5,   76.8,   79.0,   23.2,   21.0,    103,     11,      4,      5,      8,     24,     11,     20,     22,     15,      9,      4,      4,     64,     74,    25.5,    21.1,    40.6,    31.0,    25.5,    21.1,    37.9,    30.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230124,2023-01-24,090741,CME ,00,090 ,  149424,   40539,    3766,    2277,   25019,   58732,    6609,   17887,   33911,   10842,   12999,    2231,     720,  116892,  119087,   32532,   30337,    7170,    4156,   -2401,     337,    1048,    3495,     -20,    2223,    7406,    1000,    -333,     376,      18,    8429,   10210,   -1259,   -3040,  100.0,   27.1,    2.5,    1.5,   16.7,   39.3,    4.4,   12.0,   22.7,    7.3,    8.7,    1.5,    0.5,   78.2,   79.7,   21.8,   20.3,    107,     12,.,      5,      8,     24,     11,     18,     27,     14,     11,      4,.,     65,     75,    25.0,    20.6,    40.2,    30.4,    24.9,    20.6,    37.9,    30.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230117,2023-01-17,090741,CME ,00,090 ,  142254,   36383,    6167,    1940,   23971,   55237,    6630,   15664,   26505,    9842,   13332,    1855,     702,  108463,  108877,   33791,   33377,   -2000,   -1768,    1476,    -356,    -475,    -147,     271,     427,   -4776,     474,     377,   -1910,     190,    -861,   -4779,   -1139,    2779,  100.0,   25.6,    4.3,    1.4,   16.9,   38.8,    4.7,   11.0,   18.6,    6.9,    9.4,    1.3,    0.5,   76.2,   76.5,   23.8,   23.5,     92,     10,      4,      5,      7,     23,     11,     14,     21,     13,     10,.,.,     56,     66,    24.9,    21.4,    40.0,    30.2,    24.8,    21.4,    38.9,    29.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230110,2023-01-10,090741,CME ,00,090 ,  144254,   38151,    4691,    2296,   24446,   55384,    6359,   15237,   31281,    9368,   12955,    3765,     512,  109324,  113656,   34930,   30598,   -7871,     434,    -467,    -984,   -1681,   -4951,    -259,   -1126,    2993,   -3638,   -1773,    -844,      12,   -9015,   -8137,    1144,     266,  100.0,   26.4,    3.3,    1.6,   16.9,   38.4,    4.4,   10.6,   21.7,    6.5,    9.0,    2.6,    0.4,   75.8,   78.8,   24.2,   21.2,     95,     11,.,      5,      8,     23,     10,     11,     26,     14,      9,      4,.,     56,     69,    25.2,    21.4,    41.2,    30.6,    25.2,    21.4,    39.1,    30.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
